City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,tabou,4.423,-7.3528,28.430000000000007,70,84,4.78,CI,1675698158
146,do gonbadan,30.3586,50.7981,13.050000000000011,54,75,5.14,IR,1675698159
147,tasiilaq,65.6145,-37.6368,-8.909999999999968,97,84,1.59,GL,1675698159
148,puerto ayora,-0.7393,-90.3518,28.980000000000018,91,58,4.02,EC,1675698159
149,makakilo city,21.3469,-158.0858,23.180000000000007,76,100,5.14,US,1675697875
150,lady frere,-31.7031,27.2329,22.74000000000001,69,92,1.89,ZA,1675698160
151,anchorage,61.2181,-149.9003,-0.5099999999999909,86,100,4.12,US,1675697555
152,general jose eduvigis diaz,-27.1667,-58.4167,35.02000000000004,18,26,2.64,PY,1675698160
153,naze,28.3667,129.4833,18.510000000000048,88,74,6.92,JP,1675698160
154,cayenne,4.9333,-52.3333,28.02000000000004,74,75,6.69,GF,1675698161
155,qaanaaq,77.484,-69.3632,-26.00999999999999,98,99,2.49,GL,1675698161
156,georgetown,5.4112,100.3354,24.960000000000036,94,20,0.51,MY,1675698162
157,dalvik,65.9702,-18.5286,1.9600000000000364,73,49,6.85,IS,1675698162
158,manokwari,-0.8667,134.0833,25.08000000000004,88,100,4.19,ID,1675698162
159,gornoye loo,43.7129,39.6049,7.8799999999999955,81,100,1.21,RU,1675698163
160,banikoara,11.2985,2.4386,36.77000000000004,8,100,3.46,BJ,1675698163
161,finschhafen,-6.6024,147.8681,26.810000000000002,84,100,3.61,PG,1675698163
162,maceio,-9.6658,-35.7353,26.689999999999998,94,75,2.57,BR,1675698164
163,nikolayevsk-na-amure,53.1406,140.73,-25.47999999999999,100,62,1.38,RU,1675698164
164,umm kaddadah,13.6017,26.6876,27.370000000000005,9,100,5.97,SD,1675698164
165,esperance,-33.8667,121.9,25.090000000000032,44,53,6.34,AU,1675698165
166,kudahuvadhoo,2.6708,72.8944,27.30000000000001,75,100,3.24,MV,1675698165
167,iqaluit,63.7506,-68.5145,-31.839999999999975,67,40,5.14,CA,1675698165
168,rio gallegos,-51.6226,-69.2181,19.03000000000003,34,40,7.72,AR,1675698166
169,gushikawa,26.3544,127.8686,20.57000000000005,95,20,2.57,JP,1675698166
170,ishigaki,24.3448,124.1572,20.07000000000005,88,100,1.03,JP,1675698166
171,mar del plata,-38.0023,-57.5575,26.57000000000005,61,0,7.2,AR,1675698027
172,sungaipenuh,-2.0833,101.3833,18.390000000000043,82,100,0.74,ID,1675698167
173,zinder,13.8072,8.9881,32.98000000000002,11,91,5.14,NE,1675698167
174,mandan,46.8267,-100.8896,2.980000000000018,84,20,5.66,US,1675698167
175,biaora,23.8667,76.9167,20.710000000000036,28,0,2.1,IN,1675698168
176,sur,22.5667,59.5289,22.05000000000001,64,51,0.41,OM,1675698168
177,ambulu,-8.345,113.6058,24.460000000000036,88,100,2.28,ID,1675698168
178,bang saphan,11.2126,99.5117,23.74000000000001,90,50,1.59,TH,1675698169
179,port lincoln,-34.7333,135.8667,16.75,83,0,6.81,AU,1675698169
180,ukiah,39.1502,-123.2078,5.010000000000048,95,0,0.0,US,1675698169
181,rocha,-34.4833,-54.3333,31.160000000000025,30,73,5.08,UY,1675698170
182,taoudenni,22.6783,-3.9836,24.970000000000027,13,100,3.26,ML,1675698170
183,domoni,-12.2569,44.5319,26.510000000000048,84,100,2.76,KM,1675698170
184,yulara,-25.2406,130.9889,24.640000000000043,17,0,3.87,AU,1675697911
185,kampong thum,12.7111,104.8887,25.960000000000036,63,0,1.78,KH,1675698171
186,mount isa,-20.7333,139.5,24.870000000000005,100,40,1.54,AU,1675698171
187,junction city,39.0286,-96.8314,10.78000000000003,77,0,7.72,US,1675697900
188,bandarbeyla,9.4942,50.8122,24.400000000000034,76,73,7.62,SO,1675698171
189,chokurdakh,70.6333,147.9167,-31.629999999999967,98,100,2.48,RU,1675698172
190,ust-tsilma,65.441,52.1498,-23.059999999999974,100,96,1.53,RU,1675698172
191,marrakesh,31.6315,-8.0083,20.04000000000002,22,20,2.57,MA,1675698172
192,sterling,39.0062,-77.4286,11.560000000000002,56,75,8.75,US,1675698105
193,wahpeton,46.2652,-96.6059,0.5200000000000387,86,0,6.69,US,1675698173
194,mattru,7.6244,-11.8332,36.129999999999995,30,73,2.01,SL,1675698173
195,zeya,53.75,127.2667,-23.629999999999967,96,100,1.64,RU,1675698173
196,wichian buri,15.6578,101.106,29.400000000000034,53,44,0.98,TH,1675698174
197,hurghada,27.2574,33.8129,21.02000000000004,18,0,7.2,EG,1675698174
198,sinfra,6.6167,-5.9167,37.23000000000002,22,84,1.39,CI,1675698175
199,rundu,-17.9333,19.7667,20.850000000000023,89,100,3.0,NA,1675698175
200,orsha,54.5153,30.4053,-3.2999999999999545,96,100,3.87,BY,1675698175
201,sorong,-0.8833,131.25,25.760000000000048,84,100,3.19,ID,1675698176
202,galesong,-5.3166,119.3661,24.010000000000048,80,98,3.05,ID,1675698176
203,ushtobe,45.2514,77.9838,-2.759999999999991,96,94,1.45,KZ,1675698176
204,newport,51.5877,-2.9984,10.010000000000048,78,83,0.8,GB,1675697930
205,san-pedro,4.7485,-6.6363,28.420000000000016,70,94,4.72,CI,1675698177
206,san patricio,28.017,-97.5169,21.150000000000034,69,3,7.6,US,1675698177
207,cedar city,37.6775,-113.0619,-4.4599999999999795,86,100,2.06,US,1675697604
208,tuatapere,-46.1333,167.6833,15.230000000000018,72,75,3.89,NZ,1675698177
209,ambilobe,-13.2,49.05,23.870000000000005,92,100,0.67,MG,1675698178
210,richards bay,-28.783,32.0377,26.30000000000001,74,10,2.63,ZA,1675698178
211,matara,5.9485,80.5353,24.33000000000004,88,100,1.54,LK,1675698178
212,kidal,18.4411,1.4078,33.77000000000004,8,42,3.22,ML,1675698179
213,beatrice,40.2681,-96.747,7.8799999999999955,76,0,5.14,US,1675698179
214,kondinskoye,59.6481,67.41,-11.389999999999986,97,100,1.31,RU,1675698179
215,lata,40.1629,-8.3327,17.260000000000048,41,2,3.8,PT,1675698180
216,keene,42.9337,-72.2781,7.8700000000000045,66,0,0.45,US,1675698086
217,lozuvatka,48.0571,33.2858,-2.2399999999999523,85,100,6.74,UA,1675698180
218,leningradskiy,69.3833,178.4167,-33.559999999999974,99,100,3.02,RU,1675698180
219,lodwar,3.1191,35.5973,33.29000000000002,15,58,3.99,KE,1675698181
220,hofn,64.2539,-15.2082,4.010000000000048,75,40,9.26,IS,1675698181
221,odesskoye,54.2111,72.9651,-22.00999999999999,100,83,1.22,RU,1675698182
222,noumea,-22.2763,166.4572,23.99000000000001,87,86,4.98,NC,1675698183
223,sinnamary,5.3833,-52.95,26.05000000000001,86,86,5.44,GF,1675698184
224,bengkulu,-3.8004,102.2655,24.53000000000003,87,100,3.01,ID,1675698184
225,wynyard,-41.0,145.7167,13.879999999999995,73,34,4.13,AU,1675698185
226,byron bay,-28.65,153.6167,19.970000000000027,77,100,1.7,AU,1675697822
227,yurginskoye,56.8189,67.3921,-17.17999999999998,100,100,0.8,RU,1675698187
228,port moresby,-9.4431,147.1797,23.680000000000007,100,75,2.57,PG,1675698144
229,palu,-0.8917,119.8707,23.910000000000025,95,90,0.86,ID,1675698188
230,polis,35.0367,32.4264,8.900000000000034,92,99,9.54,CY,1675698189
231,vostok,46.4856,135.8833,-21.829999999999984,99,100,2.24,RU,1675698190
232,nikolskoye,59.7035,30.7861,-1.0600000000000023,96,99,2.43,RU,1675698191
233,kavaratti,10.5669,72.642,27.24000000000001,73,4,6.0,IN,1675698192
234,kholodnyy,62.7167,147.95,-38.66999999999999,100,97,1.38,RU,1675698192
235,lasa,46.6166,10.7002,4.490000000000009,92,31,2.45,IT,1675698193
236,evensk,61.95,159.2333,-28.99999999999997,76,19,4.59,RU,1675698194
237,vlakhiotis,36.8667,22.7,4.010000000000048,69,82,6.14,GR,1675698195
238,quatre cocos,-20.2078,57.7625,27.27000000000004,80,87,5.57,MU,1675698196
239,pascagoula,30.3658,-88.5561,17.5,70,0,2.06,US,1675698196
240,great yarmouth,52.6083,1.7305,8.580000000000041,68,13,2.35,GB,1675698197
241,kibaya,-5.3,36.5667,16.79000000000002,88,97,1.94,TZ,1675698198
242,sola,-13.8833,167.55,27.32000000000005,73,92,2.77,VU,1675698198
243,berezovka,53.7214,25.4993,-1.3599999999999568,84,99,3.5,BY,1675698200
244,kungurtug,50.5994,97.5228,-23.45999999999998,100,83,1.01,RU,1675698200
245,kahului,20.8947,-156.47,23.80000000000001,84,0,4.47,US,1675697874
246,mount gambier,-37.8333,140.7667,12.200000000000045,93,5,2.1,AU,1675698202
247,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.669999999999959,72,75,3.0,RU,1675698202
248,walvis bay,-22.9575,14.5053,21.53000000000003,68,40,4.12,NA,1675698188
249,grand-santi,4.25,-54.3833,27.200000000000045,80,75,2.18,GF,1675698203
250,katsuura,35.1333,140.3,10.660000000000025,60,100,2.18,JP,1675698203
